sample,Shannon,Simpson,invSimpson,Richness,Chao,Ace,obs,Pielou,Goods_coverage
HK1.1,7.31442186122042,0.997409244016697,385.987721902308,8448,35688576,NA,8448,0.560732970369662,1
HK1.2,7.0380282667597,0.99559455574826,226.991863443731,8515,36256870,NA,8515,0.539073302163175,1
HK1.3,7.04077919575364,0.995700411139605,232.580377442886,8376,35082876,NA,8376,0.540266612263632,1
HK1.4,7.00662450411201,0.995926682307822,245.500124363043,8346,34832031,NA,8346,0.537859434504881,1
HK1.5,7.1765941145837,0.996651004358687,298.596984619552,8557,36615403,NA,8557,0.549387957627766,1
HK2.1,6.93635852052796,0.995578258306051,226.155227784662,8569,36718165,NA,8569,0.53091509371571,1
HK2.2,7.11549261038557,0.996621762446697,296.012339044173,8179,33452110,NA,8179,0.547442072144305,1
HK2.3,7.20247659698209,0.996574789113523,291.952826597683,8616,37122036,NA,8616,0.550951227018836,1
HK2.4,6.93690794424034,0.995272737589676,211.538923207647,7902,31224753,NA,7902,0.53575122046389,1
HK2.5,7.07059419127011,0.995766673492627,236.220853330928,8162,33313203,NA,8162,0.54411339892852,1
HK3.1,7.1851327026965,0.996620977528283,295.943577875046,8401,35292601,NA,8401,0.551161580092466,1
HK3.2,7.02810374878603,0.995949159524934,246.862350209826,7868,30956646,NA,7868,0.543055365966661,1
HK3.3,7.09438831487999,0.996352694462518,274.175001168208,7928,31430556,NA,7928,0.547713273931183,1
HK3.4,6.85301408436356,0.994826222505846,193.282374653712,8482,35976403,NA,8482,0.525127582934246,1
HK3.5,6.90814258828513,0.995568939006055,225.679583595562,8387,35175078,NA,8387,0.530011880038603,1
